Line_l,from_bus,to_bus,r_ohm,x_ohm,c_nf,in_service,in_service (initial),max_i_ka,max_loading_percent
1,1,2,0.0922,0.047,0.0,True,True,99999.0,100.0
2,2,3,0.493,0.2511,0.0,True,True,99999.0,100.0
3,3,4,0.366,0.1864,0.0,True,True,99999.0,100.0
4,4,5,0.3811,0.1941,0.0,True,True,99999.0,100.0
5,5,6,0.819,0.707,0.0,True,True,99999.0,100.0
6,6,7,0.1872,0.6188,0.0,True,True,99999.0,100.0
7,7,8,0.7114,0.2351,0.0,True,True,99999.0,100.0
8,8,9,1.03,0.74,0.0,True,True,99999.0,100.0
9,9,10,1.044,0.74,0.0,True,True,99999.0,100.0
10,10,11,0.1966,0.065,0.0,True,True,99999.0,100.0
11,11,12,0.3744,0.1238,0.0,True,True,99999.0,100.0
12,12,13,1.468,1.155,0.0,True,True,99999.0,100.0
13,13,14,0.5416,0.7129,0.0,True,True,99999.0,100.0
14,14,15,0.591,0.526,0.0,True,True,99999.0,100.0
15,15,16,0.7463,0.545,0.0,True,True,99999.0,100.0
16,16,17,1.289,1.721,0.0,True,True,99999.0,100.0
17,17,18,0.732,0.574,0.0,True,True,99999.0,100.0
18,2,19,0.164,0.1565,0.0,True,True,99999.0,100.0
19,19,20,1.5042,1.3554,0.0,True,True,99999.0,100.0
20,20,21,0.4095,0.4784,0.0,True,True,99999.0,100.0
21,21,22,0.7089,0.9373,0.0,True,True,99999.0,100.0
22,3,23,0.4512,0.3083,0.0,True,True,99999.0,100.0
23,23,24,0.898,0.7091,0.0,True,True,99999.0,100.0
24,24,25,0.896,0.7011,0.0,True,True,99999.0,100.0
25,6,26,0.203,0.1034,0.0,True,True,99999.0,100.0
26,26,27,0.2842,0.1447,0.0,True,True,99999.0,100.0
27,27,28,1.059,0.9337,0.0,True,True,99999.0,100.0
28,28,29,0.8042,0.7006,0.0,True,True,99999.0,100.0
29,29,30,0.5075,0.2585,0.0,True,True,99999.0,100.0
30,30,31,0.9744,0.963,0.0,True,True,99999.0,100.0
31,31,32,0.3105,0.3619,0.0,True,True,99999.0,100.0
32,32,33,0.341,0.5302,0.0,True,True,99999.0,100.0
33,21,8,2.0,2.0,0.0,True,False,99999.0,100.0
34,9,15,2.0,2.0,0.0,True,False,99999.0,100.0
35,12,22,2.0,2.0,0.0,True,False,99999.0,100.0
36,18,33,0.5,0.5,0.0,True,False,99999.0,100.0
37,25,29,0.5,0.5,0.0,True,False,99999.0,100.0
