Load_d,bus,p_mw,q_mvar,in_service
1,2,0.1,0.06,True
2,3,0.09,0.04,True
3,4,0.12,0.08,True
4,5,0.06,0.03,True
5,6,0.06,0.02,True
6,7,0.2,0.1,True
7,8,0.2,0.1,True
8,9,0.06,0.02,True
9,10,0.06,0.02,True
10,11,0.045,0.03,True
11,12,0.06,0.035,True
12,13,0.06,0.035,True
13,14,0.12,0.08,True
14,15,0.06,0.01,True
15,16,0.06,0.02,True
16,17,0.06,0.02,True
17,18,0.09,0.04,True
18,19,0.09,0.04,True
19,20,0.09,0.04,True
20,21,0.09,0.04,True
21,22,0.09,0.04,True
22,23,0.09,0.05,True
23,24,0.42,0.2,True
24,25,0.42,0.2,True
25,26,0.06,0.025,True
26,27,0.06,0.025,True
27,28,0.06,0.02,True
28,29,0.12,0.07,True
29,30,0.2,0.6,True
30,31,0.15,0.07,True
31,32,0.21,0.1,True
32,33,0.06,0.04,True
