Bus_i,Bus_j,Bus_G,Bus_B
1,1,0.0,-17.36111111111111
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,17.36111111111111
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,0.0
2,1,0.0,0.0
2,2,0.0,-16.0
2,3,0.0,0.0
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,0.0,0.0
2,8,0.0,16.0
2,9,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.0
3,3,0.0,-17.064846416382252
3,4,0.0,0.0
3,5,0.0,0.0
3,6,0.0,17.064846416382252
3,7,0.0,0.0
3,8,0.0,0.0
3,9,0.0,0.0
4,1,0.0,17.36111111111111
4,2,0.0,0.0
4,3,0.0,0.0
4,4,3.3073789620253065,-39.30888872611897
4,5,-1.9421912487147266,10.510682051867931
4,6,0.0,0.0
4,7,0.0,0.0
4,8,0.0,0.0
4,9,-1.36518771331058,11.60409556313993
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,-1.9421912487147266,10.510682051867931
5,5,3.2242003871388416,-15.840927014229457
5,6,-1.2820091384241148,5.588244962361526
5,7,0.0,0.0
5,8,0.0,0.0
5,9,0.0,0.0
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,17.064846416382252
6,4,0.0,0.0
6,5,-1.2820091384241148,5.588244962361526
6,6,2.437096619314212,-32.153861805106956
6,7,-1.1550874808900968,9.784270426363173
6,8,0.0,0.0
6,9,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
7,6,-1.1550874808900968,9.784270426363173
7,7,2.772209954136233,-23.30324902327162
7,8,-1.617122473246136,13.697978596908444
7,9,0.0,0.0
8,1,0.0,0.0
8,2,0.0,16.0
8,3,0.0,0.0
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,-1.617122473246136,13.697978596908444
8,8,2.8047268525372844,-35.44561313021703
8,9,-1.1876043792911484,5.975134533308591
9,1,0.0,0.0
9,2,0.0,0.0
9,3,0.0,0.0
9,4,-1.36518771331058,11.60409556313993
9,5,0.0,0.0
9,6,0.0,0.0
9,7,0.0,0.0
9,8,-1.1876043792911484,5.975134533308591
9,9,2.5527920926017282,-17.338230096448523
