Load_d,bus,p_mw,q_mvar,p_mw_1,q_mvar_1,p_mw_2,q_mvar_2,p_mw_3,q_mvar_3,p_mw_4,q_mvar_4,p_mw_5,q_mvar_5,p_mw_6,q_mvar_6,p_mw_7,q_mvar_7,p_mw_8,q_mvar_8,p_mw_9,q_mvar_9,p_mw_10,q_mvar_10,p_mw_11,q_mvar_11,p_mw_12,q_mvar_12,p_mw_13,q_mvar_13,p_mw_14,q_mvar_14,p_mw_15,q_mvar_15,p_mw_16,q_mvar_16,p_mw_17,q_mvar_17,p_mw_18,q_mvar_18,p_mw_19,q_mvar_19,p_mw_20,q_mvar_20,p_mw_21,q_mvar_21,p_mw_22,q_mvar_22,p_mw_23,q_mvar_23,p_mw_24,q_mvar_24
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.1,0.06,0.06153846153846154,0.036923076923076927,0.05769230769230769,0.03461538461538461,0.05384615384615385,0.03230769230769231,0.05,0.03,0.055714285714285716,0.033428571428571426,0.06142857142857144,0.03685714285714286,0.06714285714285716,0.040285714285714286,0.07285714285714287,0.04371428571428572,0.07857142857142857,0.04714285714285714,0.0842857142857143,0.05057142857142858,0.09000000000000001,0.054,0.085,0.051,0.09000000000000001,0.054,0.095,0.056999999999999995,0.1,0.06,0.09615384615384616,0.05769230769230769,0.09230769230769231,0.055384615384615386,0.08846153846153847,0.05307692307692307,0.08461538461538462,0.05076923076923077,0.08076923076923077,0.04846153846153846,0.07692307692307693,0.04615384615384615,0.07307692307692308,0.04384615384615385,0.06923076923076923,0.04153846153846154,0.06538461538461539,0.03923076923076923
3,3,0.09,0.04,0.055384615384615386,0.02461538461538462,0.05192307692307692,0.023076923076923075,0.04846153846153846,0.021538461538461538,0.045,0.02,0.05014285714285714,0.022285714285714287,0.055285714285714285,0.024571428571428574,0.06042857142857143,0.02685714285714286,0.06557142857142857,0.029142857142857147,0.07071428571428572,0.03142857142857143,0.07585714285714286,0.03371428571428572,0.081,0.036000000000000004,0.0765,0.034,0.081,0.036000000000000004,0.08549999999999999,0.038,0.09,0.04,0.08653846153846154,0.038461538461538464,0.08307692307692308,0.036923076923076927,0.07961538461538462,0.03538461538461538,0.07615384615384616,0.033846153846153845,0.0726923076923077,0.03230769230769231,0.06923076923076922,0.030769230769230767,0.06576923076923077,0.029230769230769234,0.06230769230769231,0.027692307692307693,0.05884615384615385,0.026153846153846156
4,4,0.12,0.08,0.07384615384615385,0.04923076923076924,0.06923076923076922,0.04615384615384615,0.06461538461538462,0.043076923076923075,0.06,0.04,0.06685714285714285,0.044571428571428574,0.07371428571428572,0.04914285714285715,0.08057142857142857,0.05371428571428572,0.08742857142857144,0.058285714285714295,0.09428571428571428,0.06285714285714286,0.10114285714285716,0.06742857142857143,0.108,0.07200000000000001,0.102,0.068,0.108,0.07200000000000001,0.11399999999999999,0.076,0.12,0.08,0.11538461538461538,0.07692307692307693,0.11076923076923077,0.07384615384615385,0.10615384615384614,0.07076923076923076,0.10153846153846154,0.06769230769230769,0.09692307692307692,0.06461538461538462,0.0923076923076923,0.061538461538461535,0.0876923076923077,0.05846153846153847,0.08307692307692308,0.055384615384615386,0.07846153846153846,0.05230769230769231
5,5,0.06,0.03,0.036923076923076927,0.018461538461538463,0.03461538461538461,0.017307692307692305,0.03230769230769231,0.016153846153846154,0.03,0.015,0.033428571428571426,0.016714285714285713,0.03685714285714286,0.01842857142857143,0.040285714285714286,0.020142857142857143,0.04371428571428572,0.02185714285714286,0.04714285714285714,0.02357142857142857,0.05057142857142858,0.02528571428571429,0.054,0.027,0.051,0.0255,0.054,0.027,0.056999999999999995,0.028499999999999998,0.06,0.03,0.05769230769230769,0.028846153846153844,0.055384615384615386,0.027692307692307693,0.05307692307692307,0.026538461538461535,0.05076923076923077,0.025384615384615384,0.04846153846153846,0.02423076923076923,0.04615384615384615,0.023076923076923075,0.04384615384615385,0.021923076923076924,0.04153846153846154,0.02076923076923077,0.03923076923076923,0.019615384615384614
6,6,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
7,7,0.2,0.1,0.12307692307692308,0.06153846153846154,0.11538461538461538,0.05769230769230769,0.1076923076923077,0.05384615384615385,0.1,0.05,0.11142857142857143,0.055714285714285716,0.12285714285714287,0.06142857142857144,0.1342857142857143,0.06714285714285716,0.14571428571428574,0.07285714285714287,0.15714285714285714,0.07857142857142857,0.1685714285714286,0.0842857142857143,0.18000000000000002,0.09000000000000001,0.17,0.085,0.18000000000000002,0.09000000000000001,0.19,0.095,0.2,0.1,0.19230769230769232,0.09615384615384616,0.18461538461538463,0.09230769230769231,0.17692307692307693,0.08846153846153847,0.16923076923076924,0.08461538461538462,0.16153846153846155,0.08076923076923077,0.15384615384615385,0.07692307692307693,0.14615384615384616,0.07307692307692308,0.13846153846153847,0.06923076923076923,0.13076923076923078,0.06538461538461539
8,8,0.2,0.1,0.12307692307692308,0.06153846153846154,0.11538461538461538,0.05769230769230769,0.1076923076923077,0.05384615384615385,0.1,0.05,0.11142857142857143,0.055714285714285716,0.12285714285714287,0.06142857142857144,0.1342857142857143,0.06714285714285716,0.14571428571428574,0.07285714285714287,0.15714285714285714,0.07857142857142857,0.1685714285714286,0.0842857142857143,0.18000000000000002,0.09000000000000001,0.17,0.085,0.18000000000000002,0.09000000000000001,0.19,0.095,0.2,0.1,0.19230769230769232,0.09615384615384616,0.18461538461538463,0.09230769230769231,0.17692307692307693,0.08846153846153847,0.16923076923076924,0.08461538461538462,0.16153846153846155,0.08076923076923077,0.15384615384615385,0.07692307692307693,0.14615384615384616,0.07307692307692308,0.13846153846153847,0.06923076923076923,0.13076923076923078,0.06538461538461539
9,9,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
10,10,0.06,0.02,0.036923076923076927,0.01230769230769231,0.03461538461538461,0.011538461538461537,0.03230769230769231,0.010769230769230769,0.03,0.01,0.033428571428571426,0.011142857142857144,0.03685714285714286,0.012285714285714287,0.040285714285714286,0.01342857142857143,0.04371428571428572,0.014571428571428574,0.04714285714285714,0.015714285714285715,0.05057142857142858,0.01685714285714286,0.054,0.018000000000000002,0.051,0.017,0.054,0.018000000000000002,0.056999999999999995,0.019,0.06,0.02,0.05769230769230769,0.019230769230769232,0.055384615384615386,0.018461538461538463,0.05307692307692307,0.01769230769230769,0.05076923076923077,0.016923076923076923,0.04846153846153846,0.016153846153846154,0.04615384615384615,0.015384615384615384,0.04384615384615385,0.014615384615384617,0.04153846153846154,0.013846153846153847,0.03923076923076923,0.013076923076923078
