,bus,cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1,17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.3,0.35,0.4,0.45,0.55,0.65,0.75,0.85,0.95,1.0,0.95,0.85,0.7,0.55,0.4,0.3
2,2,3,0.4,0.4,0.4,0.4,0.42,0.45,0.54,0.63,0.77,0.91,0.99,1.0,0.91,0.93,0.94,0.93,0.91,0.86,0.77,0.68,0.59,0.54,0.49,0.45
3,3,13,0.46,0.44,0.42,0.4,0.4,0.42,0.6,0.72,0.8,0.86,0.88,0.9,0.84,0.8,0.78,0.8,0.86,0.92,0.96,0.98,1.0,0.92,0.76,0.6
4,4,5,0.2,0.2,0.2,0.2,0.2,0.24,0.42,0.64,0.86,0.96,0.99,1.0,0.93,0.96,0.97,0.95,0.86,0.64,0.46,0.34,0.27,0.24,0.2,0.2
5,5,14,0.59,0.78,0.92,0.98,1.0,0.96,0.83,0.66,0.49,0.36,0.28,0.24,0.2,0.15,0.15,0.19,0.24,0.24,0.28,0.32,0.36,0.41,0.45,0.53
6,6,7,0.75,0.7,0.65,0.65,0.7,0.9,1.0,0.95,0.8,0.7,0.65,0.65,0.7,0.75,0.8,0.85,0.95,0.98,0.93,0.85,0.8,0.75,0.75,0.75
7,7,16,0.6,0.6,0.6,0.6,0.62,0.66,0.74,0.84,0.94,0.98,1.0,0.99,0.96,0.94,0.92,0.9,0.86,0.8,0.76,0.72,0.68,0.64,0.62,0.6
8,8,1,0.3,0.3,0.3,0.35,0.39,0.44,0.53,0.77,0.95,0.99,1.0,0.99,0.99,0.99,0.99,1.0,0.98,0.86,0.72,0.58,0.49,0.44,0.39,0.35
9,9,6,0.25,0.25,0.25,0.25,0.3,0.35,0.5,0.75,0.95,0.99,1.0,1.0,1.0,1.0,0.99,0.95,0.85,0.7,0.55,0.4,0.35,0.3,0.25,0.25
10,10,8,0.6,0.6,0.6,0.6,0.6,0.62,0.68,0.76,0.84,0.9,0.94,0.96,0.98,0.99,1.0,0.99,0.96,0.9,0.8,0.72,0.66,0.64,0.62,0.6
11,11,11,0.25,0.25,0.25,0.25,0.25,0.29,0.33,0.46,0.75,0.96,1.0,0.96,0.87,0.83,0.79,0.75,0.67,0.46,0.33,0.29,0.25,0.25,0.25,0.25
12,12,2,0.15,0.15,0.15,0.15,0.15,0.19,0.32,0.53,0.79,0.96,1.0,0.98,0.92,0.94,0.96,0.97,0.94,0.83,0.57,0.36,0.24,0.19,0.15,0.15
13,13,9,0.3,0.3,0.3,0.3,0.3,0.32,0.34,0.41,0.58,0.76,0.83,0.9,0.79,0.51,0.44,0.41,0.58,0.86,0.97,1.0,0.93,0.72,0.48,0.37
14,14,12,0.4,0.4,0.4,0.4,0.45,0.49,0.63,0.81,0.95,1.0,0.95,0.91,0.86,0.81,0.77,0.72,0.68,0.63,0.54,0.49,0.45,0.4,0.4,0.4
15,15,18,0.05,0.05,0.05,0.05,0.05,0.08,0.19,0.53,0.81,0.95,1.0,0.86,0.62,0.76,0.86,0.91,0.72,0.43,0.19,0.1,0.08,0.05,0.05,0.05
16,16,4,0.1,0.1,0.1,0.1,0.1,0.13,0.19,0.46,0.73,0.91,1.0,0.96,0.87,0.78,0.64,0.51,0.37,0.24,0.15,0.13,0.1,0.1,0.1,0.1
17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.3,0.35,0.4,0.45,0.55,0.65,0.75,0.85,0.95,1.0,0.95,0.85,0.7,0.55,0.4,0.3
18,18,15,0.8,0.8,0.82,0.83,0.84,0.85,0.86,0.9,0.94,0.97,0.99,1.0,0.99,0.98,0.97,0.96,0.95,0.93,0.9,0.88,0.86,0.84,0.82,0.8
19,19,10,0.8,0.8,0.79,0.74,0.74,0.79,0.87,0.96,0.98,0.99,1.0,1.0,0.99,0.98,0.97,0.96,0.94,0.91,0.89,0.87,0.85,0.83,0.83,0.83
