,Load * 0.8,Load * 0.9,Load * 1.0,Load * 1.1,Load * 1.2
1,1.0 ∠ 0,1.0 ∠ 0,1.0 ∠ 0,1.0 ∠ 0,1.0 ∠ 0
2,0.998 ∠ 0.027,0.997 ∠ 0.02,0.997 ∠ 0.014,0.997 ∠ 0.008,0.997 ∠ 0.002
3,0.988 ∠ 0.114,0.987 ∠ 0.083,0.986 ∠ 0.053,0.985 ∠ 0.022,0.984 ∠ -0.009
4,0.985 ∠ 0.137,0.984 ∠ 0.097,0.983 ∠ 0.057,0.981 ∠ 0.018,0.98 ∠ -0.022
5,0.982 ∠ 0.156,0.981 ∠ 0.108,0.979 ∠ 0.06,0.978 ∠ 0.011,0.976 ∠ -0.037
6,0.975 ∠ 0.104,0.973 ∠ 0.027,0.971 ∠ -0.051,0.969 ∠ -0.128,0.967 ∠ -0.207
7,0.974 ∠ 0.029,0.972 ∠ -0.058,0.97 ∠ -0.146,0.968 ∠ -0.235,0.966 ∠ -0.323
8,0.973 ∠ 0.018,0.971 ∠ -0.074,0.969 ∠ -0.165,0.967 ∠ -0.257,0.964 ∠ -0.35
9,0.971 ∠ 0.01,0.968 ∠ -0.091,0.966 ∠ -0.194,0.963 ∠ -0.297,0.961 ∠ -0.4
10,0.97 ∠ -0.008,0.968 ∠ -0.112,0.965 ∠ -0.218,0.963 ∠ -0.323,0.96 ∠ -0.43
11,0.97 ∠ -0.01,0.968 ∠ -0.115,0.965 ∠ -0.22,0.963 ∠ -0.326,0.96 ∠ -0.433
12,0.97 ∠ -0.016,0.968 ∠ -0.121,0.965 ∠ -0.227,0.963 ∠ -0.333,0.96 ∠ -0.44
13,0.967 ∠ 0.003,0.965 ∠ -0.111,0.962 ∠ -0.226,0.959 ∠ -0.342,0.956 ∠ -0.458
14,0.966 ∠ -0.003,0.964 ∠ -0.122,0.961 ∠ -0.241,0.958 ∠ -0.361,0.955 ∠ -0.482
15,0.966 ∠ 0.004,0.963 ∠ -0.115,0.96 ∠ -0.236,0.958 ∠ -0.356,0.955 ∠ -0.478
16,0.964 ∠ 0.033,0.962 ∠ -0.091,0.959 ∠ -0.215,0.956 ∠ -0.34,0.953 ∠ -0.465
17,0.961 ∠ 0.056,0.958 ∠ -0.078,0.955 ∠ -0.212,0.952 ∠ -0.347,0.949 ∠ -0.484
18,0.96 ∠ 0.091,0.957 ∠ -0.043,0.954 ∠ -0.179,0.951 ∠ -0.316,0.947 ∠ -0.454
19,0.996 ∠ 0.023,0.996 ∠ 0.011,0.995 ∠ 0.0,0.995 ∠ -0.012,0.995 ∠ -0.023
20,0.984 ∠ 0.027,0.982 ∠ -0.028,0.981 ∠ -0.082,0.979 ∠ -0.136,0.978 ∠ -0.191
21,0.98 ∠ 0.005,0.978 ∠ -0.063,0.977 ∠ -0.132,0.975 ∠ -0.201,0.973 ∠ -0.27
22,0.977 ∠ -0.027,0.975 ∠ -0.109,0.973 ∠ -0.192,0.971 ∠ -0.276,0.969 ∠ -0.359
23,0.984 ∠ 0.136,0.982 ∠ 0.09,0.981 ∠ 0.044,0.979 ∠ -0.001,0.978 ∠ -0.047
24,0.974 ∠ 0.144,0.972 ∠ 0.066,0.97 ∠ -0.012,0.968 ∠ -0.091,0.966 ∠ -0.17
25,0.968 ∠ 0.176,0.965 ∠ 0.077,0.963 ∠ -0.023,0.96 ∠ -0.124,0.957 ∠ -0.225
26,0.974 ∠ 0.119,0.972 ∠ 0.04,0.97 ∠ -0.04,0.968 ∠ -0.12,0.966 ∠ -0.2
27,0.973 ∠ 0.14,0.971 ∠ 0.058,0.969 ∠ -0.024,0.967 ∠ -0.107,0.964 ∠ -0.19
28,0.969 ∠ 0.166,0.966 ∠ 0.069,0.964 ∠ -0.029,0.961 ∠ -0.127,0.958 ∠ -0.225
29,0.966 ∠ 0.194,0.963 ∠ 0.087,0.96 ∠ -0.02,0.957 ∠ -0.128,0.955 ∠ -0.237
30,0.963 ∠ 0.275,0.96 ∠ 0.162,0.957 ∠ 0.049,0.954 ∠ -0.065,0.951 ∠ -0.18
31,0.96 ∠ 0.175,0.957 ∠ 0.045,0.954 ∠ -0.085,0.951 ∠ -0.216,0.947 ∠ -0.348
32,0.96 ∠ 0.144,0.957 ∠ 0.01,0.953 ∠ -0.124,0.95 ∠ -0.259,0.947 ∠ -0.395
33,0.96 ∠ 0.119,0.957 ∠ -0.015,0.953 ∠ -0.151,0.95 ∠ -0.287,0.947 ∠ -0.425
